0;0
0.1;0.124006
0.2;0.144152
0.3;0.163499
0.4;0.170199
0.5;0.175045
0.6;0.176366
0.7;0.176486
0.8;0.175231
0.9;0.173281
1;0.170691
1.1;0.167713
1.2;0.164415
1.3;0.160911
1.4;0.157253
1.5;0.153498
1.6;0.149682
1.7;0.145838
1.8;0.141989
1.9;0.138154
2;0.13435
2.1;0.130587
2.2;0.126877
2.3;0.123227
2.4;0.119642
2.5;0.116127
2.6;0.112686
2.7;0.109322
2.8;0.106037
2.9;0.10283
3;0.0997047
3.1;0.0966595
3.2;0.0936949
3.3;0.0908105
3.4;0.088196
3.5;0.0860724
3.6;0.0839796
3.7;0.0819197
3.8;0.0798943
3.9;0.0779049
4;0.0759526
4.1;0.0740382
4.2;0.0721623
4.3;0.0703254
4.4;0.0685279
4.5;0.0670331
4.6;0.0656514
4.7;0.0642868
4.8;0.0629404
4.9;0.0616131
5;0.0603057
5.1;0.0590188
5.2;0.057753
5.3;0.0565086
5.4;0.0552862
5.5;0.0540858
5.6;0.0529078
5.7;0.051885
5.8;0.0509508
5.9;0.0500277
6;0.0491162
6.1;0.0482169
6.2;0.04733
6.3;0.0464559
6.4;0.0455948
6.5;0.044747
6.6;0.0439127
6.7;0.043092
6.8;0.0422849
6.9;0.0414916
7;0.0407121
7.1;0.0400538
7.2;0.0394197
7.3;0.0387935
7.4;0.0381753
7.5;0.0375653
7.6;0.0369637
7.7;0.0363705
7.8;0.0357859
7.9;0.0352099
8;0.0346426
8.1;0.0340841
8.2;0.0335342
8.3;0.0329932
8.4;0.0324609
8.5;0.0319373
8.6;0.0314726
8.7;0.03104
8.8;0.0306129
8.9;0.0301911
9;0.0297748
9.1;0.029364
9.2;0.0289587
9.3;0.028559
9.4;0.0281648
9.5;0.0277763
9.6;0.0273933
9.7;0.0270159
9.8;0.0266441
9.9;0.0262778
10;0.025917
10.1;0.0255618
10.2;0.0252306
10.3;0.0249339
10.4;0.0246406
10.5;0.0243509
10.6;0.0240647
10.7;0.023782
10.8;0.0235028
10.9;0.0232272
11;0.0229551
11.1;0.0226865
11.2;0.0224215
11.3;0.02216
11.4;0.021902
11.5;0.0216474
11.6;0.0213963
11.7;0.0211487
11.8;0.0209045
11.9;0.020672
12;0.0204658
12.1;0.0202618
12.2;0.02006
12.3;0.0198604
12.4;0.0196631
